DateTime,Celcius,Fahrenheit
2017-12-04T09:33:49,18.66000000000000000000,65.58800000000000000000
2017-12-04T09:38:48,18.80000000000000000000,65.84000000000000000000
2017-12-04T09:43:48,18.80000000000000000000,65.84000000000000000000
2017-12-04T09:48:47,18.80000000000000000000,65.84000000000000000000
2017-12-04T09:53:47,18.80000000000000000000,65.84000000000000000000
2017-12-04T09:58:46,18.80000000000000000000,65.84000000000000000000
2017-12-04T10:03:46,18.80000000000000000000,65.84000000000000000000
2017-12-04T10:08:45,18.80000000000000000000,65.84000000000000000000
2017-12-04T10:13:45,18.80000000000000000000,65.84000000000000000000
2017-12-04T10:18:45,18.80000000000000000000,65.84000000000000000000
2017-12-04T10:23:44,18.80000000000000000000,65.84000000000000000000
2017-12-04T10:28:43,18.80000000000000000000,65.84000000000000000000
2017-12-04T10:33:43,18.80000000000000000000,65.84000000000000000000
2017-12-04T10:38:42,18.80000000000000000000,65.84000000000000000000
2017-12-04T10:43:42,18.80000000000000000000,65.84000000000000000000
2017-12-04T10:48:42,18.80000000000000000000,65.84000000000000000000
2017-12-04T10:53:41,18.80000000000000000000,65.84000000000000000000
2017-12-04T10:58:41,18.80000000000000000000,65.84000000000000000000
2017-12-04T11:03:40,18.80000000000000000000,65.84000000000000000000
2017-12-04T11:08:40,18.80000000000000000000,65.84000000000000000000
2017-12-04T11:13:39,18.80000000000000000000,65.84000000000000000000
2017-12-04T11:18:38,18.80000000000000000000,65.84000000000000000000
2017-12-04T11:23:38,18.80000000000000000000,65.84000000000000000000
2017-12-04T11:28:38,18.94000000000000000000,66.09200000000000000000
2017-12-04T11:33:37,19.51000000000000000000,67.11800000000000000000
2017-12-04T11:38:37,20.22000000000000000000,68.39600000000000000000
2017-12-04T11:43:36,20.78000000000000000000,69.40400000000000000000
2017-12-04T11:48:36,21.06000000000000000000,69.90800000000000000000
2017-12-04T11:53:35,21.06000000000000000000,69.90800000000000000000
2017-12-04T11:58:35,21.06000000000000000000,69.90800000000000000000
2017-12-04T12:03:34,21.06000000000000000000,69.90800000000000000000
2017-12-04T12:08:34,20.78000000000000000000,69.40400000000000000000
2017-12-04T12:13:33,20.64000000000000000000,69.15200000000000000000
2017-12-04T12:18:33,20.36000000000000000000,68.64800000000000000000
2017-12-04T12:23:32,19.93000000000000000000,67.87400000000000000000
2017-12-04T12:28:31,19.93000000000000000000,67.87400000000000000000
2017-12-04T12:33:31,19.93000000000000000000,67.87400000000000000000
2017-12-04T12:38:30,19.93000000000000000000,67.87400000000000000000
2017-12-04T12:43:30,19.93000000000000000000,67.87400000000000000000
2017-12-04T12:48:30,19.93000000000000000000,67.87400000000000000000
2017-12-04T12:53:29,20.50000000000000000000,68.90000000000000000000
2017-12-04T12:58:29,21.06000000000000000000,69.90800000000000000000
2017-12-04T13:03:28,21.06000000000000000000,69.90800000000000000000
2017-12-04T13:08:28,21.06000000000000000000,69.90800000000000000000
2017-12-04T13:13:27,20.92000000000000000000,69.65600000000000000000
2017-12-04T13:18:27,20.78000000000000000000,69.40400000000000000000
2017-12-04T13:23:26,20.78000000000000000000,69.40400000000000000000
2017-12-04T13:28:26,20.50000000000000000000,68.90000000000000000000
2017-12-04T13:33:25,20.36000000000000000000,68.64800000000000000000
2017-12-04T13:38:25,20.36000000000000000000,68.64800000000000000000
2017-12-04T13:43:24,20.07000000000000000000,68.12600000000000000000
2017-12-04T13:48:24,19.93000000000000000000,67.87400000000000000000
2017-12-04T13:53:23,19.93000000000000000000,67.87400000000000000000
2017-12-04T13:58:22,19.93000000000000000000,67.87400000000000000000
2017-12-04T14:03:22,19.93000000000000000000,67.87400000000000000000
2017-12-04T14:08:21,19.93000000000000000000,67.87400000000000000000
2017-12-04T14:13:21,19.93000000000000000000,67.87400000000000000000
2017-12-04T14:18:20,19.93000000000000000000,67.87400000000000000000
2017-12-04T14:23:20,19.93000000000000000000,67.87400000000000000000
2017-12-04T14:28:19,19.93000000000000000000,67.87400000000000000000
2017-12-04T14:33:19,19.93000000000000000000,67.87400000000000000000
2017-12-04T14:38:18,19.93000000000000000000,67.87400000000000000000
2017-12-04T14:43:18,19.79000000000000000000,67.62200000000000000000
2017-12-04T14:48:17,19.65000000000000000000,67.37000000000000000000
2017-12-04T14:53:17,19.51000000000000000000,67.11800000000000000000
2017-12-04T14:58:17,19.51000000000000000000,67.11800000000000000000
2017-12-04T15:03:16,19.65000000000000000000,67.37000000000000000000
2017-12-04T15:08:16,19.51000000000000000000,67.11800000000000000000
2017-12-04T15:13:15,19.37000000000000000000,66.86600000000000000000
2017-12-04T15:18:14,19.51000000000000000000,67.11800000000000000000
2017-12-04T15:23:14,19.65000000000000000000,67.37000000000000000000
2017-12-04T15:28:14,19.51000000000000000000,67.11800000000000000000
2017-12-04T15:33:13,19.23000000000000000000,66.61400000000000000000
